rank,name,location,region,stats_number_students
1,University of Oxford,United Kingdom,Europe,"21,750"
2,Stanford University,United States,North America,"14,517"
3,Massachusetts Institute of Technology,United States,North America,"11,085"
4,Harvard University,United States,North America,"20,050"
5,University of Cambridge,United Kingdom,Europe,"20,565"
6,Princeton University,United States,North America,"7,753"
7,California Institute of Technology,United States,North America,"2,240"
8,Imperial College London,United Kingdom,Europe,"20,275"
9,"University of California, Berkeley",United States,North America,"39,991"
10,Yale University,United States,North America,"11,924"
11,ETH Zurich,Switzerland,Europe,"22,619"
12,Tsinghua University,China,Asia,"38,518"
13,The University of Chicago,United States,North America,"15,792"
14,Peking University,China,Asia,"33,064"
15,Johns Hopkins University,United States,North America,"15,772"
16,University of Pennsylvania,United States,North America,"21,312"
17,Columbia University,United States,North America,"25,914"
18,"University of California, Los Angeles",United States,North America,"42,634"
19,National University of Singapore,Singapore,Asia,"33,334"
20,Cornell University,United States,North America,"23,620"
21,University of Toronto,Canada,North America,"79,282"
22,UCL,United Kingdom,Europe,"41,110"
23,University of Michigan-Ann Arbor,United States,North America,"45,783"
24,Carnegie Mellon University,United States,North America,"13,562"
25,University of Washington,United States,North America,"49,486"
26,Duke University,United States,North America,"15,527"
27,New York University,United States,North America,"48,461"
28,Northwestern University,United States,North America,"18,894"
29,The University of Tokyo,Japan,Asia,"26,345"
30,University of Edinburgh,United Kingdom,Europe,"33,940"
31,Technical University of Munich,Germany,Europe,"35,506"
32,"Nanyang Technological University, Singapore",Singapore,Asia,"25,895"
33,École Polytechnique Fédérale de Lausanne,Switzerland,Europe,"12,543"
34,"University of California, San Diego",United States,North America,"40,596"
35,University of Hong Kong,Hong Kong,Asia,"18,103"
36,Georgia Institute of Technology,United States,North America,"32,079"
37,University of Melbourne,Australia,Asia,"51,307"
38,King’s College London,United Kingdom,Europe,"32,835"
39,LMU Munich,Germany,Europe,"34,622"
40,Paris Sciences et Lettres – PSL Research University Paris,France,Europe,"16,120"
41,University of British Columbia,Canada,North America,"58,987"
42,University of Illinois at Urbana-Champaign,United States,North America,"50,250"
43,Shanghai Jiao Tong University,China,Asia,"38,472"
44,Fudan University,China,Asia,"38,101"
45,KU Leuven,Belgium,Europe,"49,435"
46,London School of Economics and Political Science,United Kingdom,Europe,"11,945"
47,Universität Heidelberg,Germany,Europe,"19,315"
48,Delft University of Technology,Netherlands,Europe,"21,262"
49,McGill University,Canada,North America,"30,821"
50,Karolinska Institute,Sweden,Europe,"8,085"
51,University of Manchester,United Kingdom,Europe,"40,725"
52,University of Texas at Austin,United States,North America,"48,558"
53,Chinese University of Hong Kong,Hong Kong,Asia,"18,290"
54,Monash University,Australia,Asia,"58,460"
55,Kyoto University,Japan,Asia,"21,817"
56,Zhejiang University,China,Asia,"48,169"
57,University of Science and Technology of China,China,Asia,"20,252"
58,Université Paris-Saclay,France,Europe,"31,662"
59,"University of California, Davis",United States,North America,"37,926"
60,The University of Sydney,Australia,Asia,"57,414"
61,University of Amsterdam,Netherlands,Europe,"28,649"
62,Seoul National University,South Korea,Asia,"28,620"
63,University of Wisconsin-Madison,United States,North America,"41,209"
64,Brown University,United States,North America,"9,781"
65,The Hong Kong University of Science and Technology,Hong Kong,Asia,"9,794"
66,Wageningen University & Research,Netherlands,Europe,"15,899"
67,Australian National University,Australia,Asia,"17,293"
68,Washington University in St Louis,United States,North America,"13,825"
69,"University of California, Santa Barbara",United States,North America,"25,540"
70,The University of Queensland,Australia,Asia,"42,847"
71,Institut Polytechnique de Paris,France,Europe,"6,073"
72,University of North Carolina at Chapel Hill,United States,North America,"30,782"
73,Nanjing University,China,Asia,"36,711"
74,University of Southern California,United States,North America,"44,083"
75,Sorbonne University,France,Europe,"41,527"
76,Yonsei University (Seoul campus),South Korea,Asia,"18,961"
77,Leiden University,Netherlands,Europe,"35,072"
78,Boston University,United States,North America,"26,677"
79,University of Groningen,Netherlands,Europe,"31,942"
80,University of Zurich,Switzerland,Europe,"25,608"
81,University of Bristol,United Kingdom,Europe,"27,335"
82,City University of Hong Kong,Hong Kong,Asia,"9,076"
83,Korea Advanced Institute of Science and Technology (KAIST),South Korea,Asia,"10,130"
84,UNSW Sydney,Australia,Asia,"47,044"
85,University of Minnesota,United States,North America,"59,556"
86,Purdue University West Lafayette,United States,North America,"42,633"
87,University of Glasgow,United Kingdom,Europe,"32,270"
88,The Hong Kong Polytechnic University,Hong Kong,Asia,"20,034"
89,Humboldt University of Berlin,Germany,Europe,"34,761"
90,RWTH Aachen University,Germany,Europe,"34,914"
91,University of Bonn,Germany,Europe,"26,290"
92,"University of California, Irvine",United States,North America,"35,675"
93,Vanderbilt University,United States,North America,"12,971"
94,Charité - Universitätsmedizin Berlin,Germany,Europe,"8,868"
95,Lomonosov Moscow State University,Russian Federation,Europe,"32,680"
96,University of Tübingen,Germany,Europe,"21,632"
97,KTH Royal Institute of Technology,Sweden,Europe,"13,269"
98,University of Southampton,United Kingdom,Europe,"19,920"
99,Erasmus University Rotterdam,Netherlands,Europe,"33,874"
100,Ohio State University (Main campus),United States,North America,"55,538"
